wrong_name;official_name
- SubMenu_M -  Sega;- Menu - Sub_Manufacturer - Sega
- SubMenu_M - Sega;- Menu - Sub_Manufacturer - Sega
-SubMenu_M?  Sega;- Menu - Sub_Manufacturer - Sega
'''- SubMenu_M ?  Sega''';- Menu - Sub_Manufacturer - Sega
2 SEGA;- Menu - Sub_Manufacturer - Sega
9 Sega;- Menu - Sub_Manufacturer - Sega
sega;- Menu - Sub_Manufacturer - Sega
- SubMenu_Manufacturer - Sega;- Menu - Sub_Manufacturer - Sega
- SubMenu_M -  Snk;- Menu - Sub_Manufacturer - Snk
- SubMenu_M - Snk;- Menu - Sub_Manufacturer - Snk
-SubMenu_M?  Snk;- Menu - Sub_Manufacturer - Snk
'''- SubMenu_M ?  Snk''';- Menu - Sub_Manufacturer - Snk
2 SNK;- Menu - Sub_Manufacturer - Snk
9 SNK;- Menu - Sub_Manufacturer - Snk
- SubMenu_Manufacturer - Snk;- Menu - Sub_Manufacturer - Snk
- SubMenu_M -  Sony;- Menu - Sub_Manufacturer - Sony
- SubMenu_M - Sony;- Menu - Sub_Manufacturer - Sony
-SubMenu_M?  Sony;- Menu - Sub_Manufacturer - Sony
'''- SubMenu_M ?  Sony''';- Menu - Sub_Manufacturer - Sony
2 SONY;- Menu - Sub_Manufacturer - Sony
- SubMenu_Manufacturer - Sony;- Menu - Sub_Manufacturer - Sony
- SubMenu -  Arcade All;- MenuSub - Arcade All
- SubMenu - Arcade All;- MenuSub - Arcade All
"- SubMenu - Arcade All""";- MenuSub - Arcade All
- SubMenu ? Arcade All?;- MenuSub - Arcade All
'''- SubMenu ? Arcade All?''';- MenuSub - Arcade All
02 ARCADE ALL;- MenuSub - Arcade All
0 Arcade;- MenuSub - Arcade All
- SubMenu - Arcade Genres;- MenuSub - Arcade Genres
"- SubMenu - Arcade Genres""";- MenuSub - Arcade Genres
- SubMenu ? Arcade Genres;- MenuSub - Arcade Genres
- SubMenu ? Arcade Genres?;- MenuSub - Arcade Genres
'''- SubMenu ? Arcade Genres?''';- MenuSub - Arcade Genres
2 ARCADE GENRES;- MenuSub - Arcade Genres
- ArcadeFavs Official SUB;- MenuSub - Arcade Select
- SubMenu - Arcade Select;- MenuSub - Arcade Select
'''- SubMenu ? Arcade Select''';- MenuSub - Arcade Select
- SubMenu - Arcade Systems;- MenuSub - Arcade Systems
"- SubMenu - Arcade Systems""";- MenuSub - Arcade Systems
- SubMenu ? Arcade Systems;- MenuSub - Arcade Systems
- SubMenu ? Arcade Systems?;- MenuSub - Arcade Systems
'''- SubMenu ? Arcade Systems?''';- MenuSub - Arcade Systems
2 ARCADE SYSTEMS;- MenuSub - Arcade Systems
Vert0 Arcade;- MenuSub - Arcade Vertical
- SubMenu - Consoles 16 bits;- MenuSub - Consoles 16 bits
'''- SubMenu ? Consoles 16 bits''';- MenuSub - Consoles 16 bits
CONSOLE 16 BITS;- MenuSub - Consoles 16 bits
- SubMenu - Consoles 32 bits;- MenuSub - Consoles 32 bits
'''- SubMenu ? Consoles 32 bits''';- MenuSub - Consoles 32 bits
CONSOLE 32 BITS;- MenuSub - Consoles 32 bits
- SubMenu - Consoles 64 bits;- MenuSub - Consoles 64 bits
'''- SubMenu ? Consoles 64 bits''';- MenuSub - Consoles 64 bits
CONSOLE 64 BITS;- MenuSub - Consoles 64 bits
- SubMenu - Consoles 8 bits;- MenuSub - Consoles 8 bits
'''- SubMenu ? Consoles 8 bits''';- MenuSub - Consoles 8 bits
CONSOLE 8 BITS;- MenuSub - Consoles 8 bits
- SubMenu - Consoles All;- MenuSub - Consoles All
- SubMenu ? Consoles All;- MenuSub - Consoles All
'''- SubMenu ? Consoles All''';- MenuSub - Consoles All
02 CONSOLE ALL;- MenuSub - Consoles All
- SubMenu - Consoles Modern;- MenuSub - Consoles Modern
'''- SubMenu ? Consoles Modern''';- MenuSub - Consoles Modern
CONSOLES MODERN;- MenuSub - Consoles Modern
1-Player Games;- Sub_Selection - 1Players
1-Player;- Sub_Selection - 1Players
- Sub ?  2Players;- Sub_Selection - 2Players
-Sub-2Players;- Sub_Selection - 2Players
-SubCol- 2Players;- Sub_Selection - 2Players
'''- SubCol ?  2Players''';- Sub_Selection - 2Players
auto-at2players;- Sub_Selection - 2Players
2-Player Games;- Sub_Selection - 2Players
2-Player;- Sub_Selection - 2Players
2-Player Alternating;- Sub_Selection - 2Players Alternating
2-Player Alternating Games;- Sub_Selection - 2Players Alternating Games
2-Player Simultaneous;- Sub_Selection - 2Players Simultaneous
2-Player Simultaneous Games;- Sub_Selection - 2Players Simultaneous Games
3-Player Games;- Sub_Selection - 3Players
3-Player;- Sub_Selection - 3Players
3-Player Alternating;- Sub_Selection - 3Players Alternating
3-Player Alternating Games;- Sub_Selection - 3Players Alternating Games
3-Player Simultaneous;- Sub_Selection - 3Players Simultaneous
3-Player Simultaneous Games;- Sub_Selection - 3Players Simultaneous Games
- Sub ?  4Players;- Sub_Selection - 4Players
-Sub-4Players;- Sub_Selection - 4Players
-SubCol- 4Players;- Sub_Selection - 4Players
'''- SubCol ?  4Players''';- Sub_Selection - 4Players
auto-at4players;- Sub_Selection - 4Players
4-Player Games;- Sub_Selection - 4Players
4-Player;- Sub_Selection - 4Players
4-Player Alternating;- Sub_Selection - 4Players Alternating
4-Player Alternating Games;- Sub_Selection - 4Players Alternating Games
4-Player Simultaneous;- Sub_Selection - 4Players Simultaneous
4-Player Simultaneous Games;- Sub_Selection - 4Players Simultaneous Games
Afterburner Collection;- Sub_Selection - Afterburner Collection
Age of Empires Collection;- Sub_Selection - Age of Empires Collection
Alex Kidd Collection;- Sub_Selection - Alex Kidd Collection
Alien Breed Collection;- Sub_Selection - Alien Breed Collection
Alien Collection;- Sub_Selection - Alien Collection
Alone in the Dark Collection;- Sub_Selection - Alone in the Dark Collection
- Sub ?  Alphabet of Horror;- Sub_Selection - Alphabet of Horror
-Sub-Alphabet of Horror;- Sub_Selection - Alphabet of Horror
-SubCol- Alphabet of Horror;- Sub_Selection - Alphabet of Horror
'''- SubCol ?  Alphabet of Horror''';- Sub_Selection - Alphabet of Horror
Alphabet of Horror;- Sub_Selection - Alphabet of Horror
Animal Crossing Collection;- Sub_Selection - Animal Crossing Collection
Anime Collection;- Sub_Selection - Anime Collection
Battle Arena Toshinden Collection;- Sub_Selection - Arena Toshinden Collection
Arkanoid Collection;- Sub_Selection - Arkanoid Collection
Armored Core Collection;- Sub_Selection - Armored Core Collection
- Sub ?  Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
-Sub-Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
-SubCol- Art Of Fighting Collection;- Sub_Selection - Art Of Fighting Collection
'''- SubCol ?  Art Of Fighting Collection''';- Sub_Selection - Art Of Fighting Collection
artoffighting;- Sub_Selection - Art Of Fighting Collection
Assassin's Creed Collection;- Sub_Selection - Assassin's Creed Collection
- Sub ?  Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
-Sub-Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
-SubCol- Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
'''- SubCol ?  Assassins Creed Collection''';- Sub_Selection - Assassins Creed Collection
Assassins Creed Collection;- Sub_Selection - Assassins Creed Collection
Asterix & Obelix Collection;- Sub_Selection - Asterix & Obelix Collection
- Sub ?  Batman Collection;- Sub_Selection - Batman Collection
-Sub-Batman Collection;- Sub_Selection - Batman Collection
'-SubCol-  -SubCol-  -SubCol-Batman Collection''';- Sub_Selection - Batman Collection
-SubCol- Batman Collection;- Sub_Selection - Batman Collection
'''- SubCol ?  Batman Collection''';- Sub_Selection - Batman Collection
batman;- Sub_Selection - Batman Collection
Batman Collection;- Sub_Selection - Batman Collection
Battlefield Collection;- Sub_Selection - Battlefield Collection
- Sub ?  Battlefield The Collection;- Sub_Selection - Battlefield The Collection
-Sub-Battlefield The Collection;- Sub_Selection - Battlefield The Collection
-SubCol- Battlefield The Collection;- Sub_Selection - Battlefield The Collection
'''- SubCol ?  Battlefield The Collection''';- Sub_Selection - Battlefield The Collection
Battlefield The Collection;- Sub_Selection - Battlefield The Collection
Biohazard Collection;- Sub_Selection - Biohazard Collection
Bioshock Collection;- Sub_Selection - Bioshock Collection
- Sub ?  Bomberman Collection;- Sub_Selection - Bomberman Collection
