rom_wrong_name;rom_official_name;alt_rom_official_name
;fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai (NGM-069 ~ NGH-069)
;ffight;Final Fight (World, set 1)
;ffighta;Final Fight (World, set 2)
;ffightj;Final Fight (Japan)
;ffightj1;Final Fight (Japan 900112)
;ffightj2;Final Fight (Japan 900305)
;ffightj3;Final Fight (Japan 900405)
;ffightj4;Final Fight (Japan 900613)
;ffightu;Final Fight (USA, set 1)
;ffightu1;Final Fight (USA, set 2)
;ffightua;Final Fight (USA 900112)
;ffightub;Final Fight (USA 900424)
;ffightuc;Final Fight (USA 900613)
;ffreveng;Final Fight Revenge / Final Revenge (JUET 990930 V1.100)
;ffrevng10;Final Fight Revenge / Final Revenge (JUET 990714 V1.000)
;fghthist;'Fighter''s History (World ver 43-09, DE-0395-1 PCB)'
;fghthista;'Fighter''s History (World ver 43-07, DE-0380-2 PCB)'
;fghthistb;'Fighter''s History (World ver 43-05, DE-0380-2 PCB)'
;fghthistj;'Fighter''s History (Japan ver 41-07, DE-0395-1 PCB)'
;fghthistja;'Fighter''s History (Japan ver 41-05, DE-0380-2 PCB)'
;fghthistjb;'Fighter''s History (Japan ver 41-04, DE-0380-1 PCB)'
;fghthistu;'Fighter''s History (US ver 42-09, DE-0396-0 PCB)'
;fghthistua;'Fighter''s History (US ver 42-06, DE-0395-1 PCB)'
;fghthistub;'Fighter''s History (US ver 42-05, DE-0395-1 PCB)'
;fghthistuc;'Fighter''s History (US ver 42-03, DE-0380-2 PCB)'
;fgtlayer;Fighting Layer (FTL3/VER.A)
;fightfev;Fight Fever / Wang Jung Wang (set 1)
;fightfeva;Fight Fever / Wang Jung Wang (set 2)
;fswords;Fighters Swords (Korean release of Samurai Shodown III)
The Revenge of Death Adder (World, Rev B);ga2;Golden Axe
The Revenge of Death Adder (Japan);ga2j;Golden Axe
The Revenge of Death Adder (US, Rev A);ga2u;Golden Axe
;galaxyfg;Galaxy Fight - Universal Warriors
;garou;Garou - Mark of the Wolves (NGM-2530)
;garouh;Garou - Mark of the Wolves (NGM-2530 ~ NGH-2530)
;garouha;Garou - Mark of the Wolves (NGH-2530)
;garoup;Garou - Mark of the Wolves (prototype)
;gaxeduel;Golden Axe - The Duel (JUETL 950117 V1.000)
;gblchmp;Global Champion (Ver 2.1A 1994/07/29)
;gowcaizr;Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer
;groovef;Groove on Fight - Gouketsuji Ichizoku 3 (J 970416 V1.001)
;holo;Holosseum (US, Rev A)
The Anniversary Edition (USA 040202);hsf2;Hyper Street Fighter II
The Anniversary Edition (Asia 040202);hsf2a;Hyper Street Fighter II
